"ExperimentName","Subject","Session","Procedure.Block.","Running.Block.","Trial","cue_target","Direction","ListNum","JOL","JOL_RT","Group","Recall_prompt","Response","Response_RT","Group.1","Procedure.Trial..1"
"D_JOL C 2",116,1,"BlockProc1","Block1",50,"Enough - Full","F",1,100,2908,1,NA,NA,"plenty",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",13,"Sip - Drink","F",2,100,3018,1,NA,NA,"water",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",84,"Cave - Dark","F",3,100,2528,1,NA,NA,"man",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",38,"Seize - Take","F",4,100,3865,1,NA,NA,"conqueor",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",69,"Growth - Height","F",5,98,5222,1,NA,NA,"old",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",60,"Word - Sentence","F",6,100,3249,1,NA,NA,"text",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",8,"Wasp - Bug","F",7,100,2813,1,NA,NA,"sting",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",53,"Division - Math","F",8,100,2698,1,NA,NA,"addition",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",28,"Attorney - Law","F",9,100,4808,1,NA,NA,"witness",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",21,"Fantastic - Great","F",10,100,3078,1,NA,NA,"happy",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",83,"Latch - Key","F",11,100,2966,1,NA,NA,"lock",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",54,"Chili - Hot","F",12,92,7147,1,NA,NA,"hot",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",55,"Racket - Ball","F",13,100,3392,1,NA,NA,"ball",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",79,"Chore - Work","F",14,100,2985,1,NA,NA,"job",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",24,"Famine - Hunger","F",15,100,2512,1,NA,NA,"hungry",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",70,"Drowsy - Sleep","F",16,100,3305,1,NA,NA,"sleepy",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",80,"Stench - Smell","F",17,100,2718,1,NA,NA,"smell",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",10,"Attire - Clothes","F",18,100,2686,1,NA,NA,"clothes",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",23,"Pilot - Plane","F",19,100,2876,1,NA,NA,"plane",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",44,"Blaze - Fire","F",20,90,5159,1,NA,NA,"fire",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",32,"Bad - Delinquent","B",21,100,2311,1,NA,NA,"good",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",48,"Stomach - Digestion","B",22,100,2784,1,NA,NA,"digestion",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",72,"Money - Wage","B",23,100,2440,1,NA,NA,"cash",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",18,"News - Editor","B",24,100,2858,1,NA,NA,"tool",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",63,"Sting - Hornet","B",25,100,5211,1,NA,NA,"weather",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",12,"Cold - Bitter","B",26,100,3790,1,NA,NA,"bee",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",73,"Plant - Root","B",27,100,2938,1,NA,NA,"freezing",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",14,"Bird - Swan","B",28,98,5219,1,NA,NA,"tree",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",57,"Dog - Paw","B",29,100,2677,1,NA,NA,"song",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",78,"Out - Way","B",30,90,4446,1,NA,NA,"paw",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",30,"Clean - Hygiene","B",31,100,2677,1,NA,NA,"side",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",81,"Water - Bridge","B",32,100,2656,1,NA,NA,"room",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",9,"Rock - Geology","B",33,100,5988,1,NA,NA,"cycle",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",58,"War - Revolution","B",34,100,2384,1,NA,NA,"mountain",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",22,"Talk - Discussion","B",35,95,3841,1,NA,NA,"revolution",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",34,"Cow - Herd","B",36,100,2356,1,NA,NA,"happy",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",61,"Card - Credit","B",37,100,2788,1,NA,NA,"milk",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",25,"Flower - Orchid","B",38,89,7441,1,NA,NA,"table",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",46,"Fish - Tuna","B",39,100,3188,1,NA,NA,"orchard",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",77,"Hammer - Chisel","B",40,100,2289,1,NA,NA,"line",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",82,"Assignment - Due","S",41,100,4521,1,NA,NA,"money",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",15,"Amount - Number","S",42,20,5857,1,NA,NA,"due",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",40,"Site - Location","S",43,20,4134,1,NA,NA,"world",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",29,"Waste - Dump","S",44,98,4073,1,NA,NA,"dispose",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",37,"Jury - Trial","S",45,100,3072,1,NA,NA,"judge",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",20,"Design - Architecture","S",46,100,3494,1,NA,NA,"dress",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",75,"Bar - Grill","S",47,100,2307,1,NA,NA,"table",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",65,"Liver - Kidney","S",48,100,2705,1,NA,NA,"stomach",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",52,"End - Begin","S",49,100,2589,1,NA,NA,"begin",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",62,"Wind - Blow","S",50,100,4039,1,NA,NA,"sky",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",31,"Soda - Pop","S",51,100,3112,1,NA,NA,"can",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",56,"Cheese - Wine","S",52,100,2727,1,NA,NA,"wine",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",33,"Toilet - Bathroom","S",53,100,6788,1,NA,NA,"paper",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",49,"Decision - Choice","S",54,NA,162,1,NA,NA,"make",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",67,"Foot - Shoe","S",55,100,2705,1,NA,NA,"shoe",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",36,"Future - Past","S",56,100,2521,1,NA,NA,"past",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",39,"Salad - Lettuce","S",57,100,2278,1,NA,NA,"lettuce",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",66,"Bee - Honey","S",58,100,2649,1,NA,NA,"sting",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",6,"Child - Baby","S",59,95,4657,1,NA,NA,"play",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",45,"Round - Circle","S",60,100,2197,1,NA,NA,"circle",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",42,"Clutter - Pusher","U",61,100,4202,1,NA,NA,"mess",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",85,"Sacking - Dietary","U",62,100,2925,1,NA,NA,"wood",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",19,"Hungry - Park","U",63,74,6686,1,NA,NA,"dinner",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",43,"Woman - Lift","U",64,20,4022,1,NA,NA,"man",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",7,"Belt - Soon","U",65,90,9098,1,NA,NA,"buckle",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",35,"Floor - Discover","U",66,100,3964,1,NA,NA,"wall",1,"recallproc1"
