"Subject","Condition","JOL","Recall","Direction","ex"
5,"A",70,100,"F",1
5,"A",100,0,"F",1
5,"A",100,0,"F",1
5,"A",57,100,"F",1
5,"A",90,0,"F",1
5,"A",70,100,"F",1
5,"A",0,0,"F",1
5,"A",50,0,"F",1
5,"A",50,0,"F",1
5,"A",40,100,"F",1
5,"A",40,100,"F",1
5,"A",80,100,"F",1
5,"A",30,0,"F",1
5,"A",0,0,"F",1
5,"A",100,100,"F",1
5,"A",100,0,"F",1
5,"A",100,100,"F",1
5,"A",100,100,"F",1
5,"A",100,100,"F",1
5,"A",100,100,"F",1
5,"A",80,0,"B",1
5,"A",0,100,"B",1
5,"A",50,0,"B",1
5,"A",0,0,"B",1
5,"A",70,0,"B",1
5,"A",100,0,"B",1
5,"A",20,100,"B",1
5,"A",90,0,"B",1
5,"A",100,0,"B",1
5,"A",70,0,"B",1
5,"A",0,100,"B",1
5,"A",60,0,"B",1
5,"A",6,0,"B",1
5,"A",70,0,"B",1
5,"A",100,0,"B",1
5,"A",70,100,"B",1
5,"A",100,100,"B",1
5,"A",100,0,"B",1
5,"A",50,100,"B",1
5,"A",90,0,"B",1
5,"A",70,0,"S",1
5,"A",20,0,"S",1
5,"A",70,100,"S",1
5,"A",20,0,"S",1
5,"A",100,100,"S",1
5,"A",60,0,"S",1
5,"A",20,100,"S",1
5,"A",80,100,"S",1
5,"A",50,100,"S",1
5,"A",70,0,"S",1
5,"A",90,100,"S",1
5,"A",70,100,"S",1
5,"A",100,100,"S",1
5,"A",60,0,"S",1
5,"A",100,0,"S",1
5,"A",80,100,"S",1
5,"A",9,0,"S",1
5,"A",100,100,"S",1
5,"A",70,100,"S",1
5,"A",100,100,"S",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",30,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",20,0,"U",1
5,"A",10,0,"U",1
5,"A",20,0,"U",1
5,"A",20,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",20,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",80,100,"F",1
5,"A",10,100,"F",1
5,"A",70,100,"F",1
5,"A",70,100,"F",1
5,"A",70,100,"F",1
5,"A",100,100,"F",1
5,"A",0,100,"F",1
5,"A",100,100,"F",1
5,"A",100,100,"F",1
5,"A",70,0,"F",1
5,"A",100,100,"F",1
5,"A",70,0,"F",1
5,"A",80,100,"F",1
5,"A",100,100,"F",1
5,"A",90,100,"F",1
5,"A",100,0,"F",1
5,"A",100,100,"F",1
5,"A",60,100,"F",1
5,"A",50,0,"F",1
5,"A",70,100,"F",1
5,"A",70,100,"B",1
5,"A",70,100,"B",1
5,"A",90,0,"B",1
5,"A",60,100,"B",1
5,"A",60,100,"B",1
5,"A",50,100,"B",1
5,"A",70,0,"B",1
5,"A",60,100,"B",1
5,"A",50,100,"B",1
5,"A",60,0,"B",1
5,"A",100,100,"B",1
5,"A",80,100,"B",1
5,"A",100,0,"B",1
5,"A",90,0,"B",1
5,"A",100,0,"B",1
5,"A",90,100,"B",1
5,"A",90,0,"B",1
5,"A",90,0,"B",1
5,"A",100,100,"B",1
5,"A",80,0,"B",1
5,"A",90,100,"S",1
5,"A",90,100,"S",1
5,"A",100,100,"S",1
5,"A",100,100,"S",1
5,"A",70,100,"S",1
5,"A",60,100,"S",1
5,"A",50,100,"S",1
5,"A",100,0,"S",1
5,"A",90,100,"S",1
5,"A",90,100,"S",1
5,"A",90,0,"S",1
5,"A",50,100,"S",1
5,"A",0,100,"S",1
5,"A",90,0,"S",1
5,"A",90,100,"S",1
5,"A",70,100,"S",1
5,"A",60,100,"S",1
5,"A",90,100,"S",1
5,"A",90,100,"S",1
5,"A",90,100,"S",1
5,"A",10,0,"U",1
5,"A",20,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",50,100,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",10,100,"U",1
5,"A",30,0,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
5,"A",30,0,"U",1
5,"A",10,100,"U",1
5,"A",10,0,"U",1
5,"A",10,0,"U",1
13,"A",79,100,"F",1
13,"A",80,100,"F",1
13,"A",90,100,"F",1
13,"A",90,100,"F",1
13,"A",75,0,"F",1
13,"A",89,100,"F",1
13,"A",90,0,"F",1
13,"A",40,100,"F",1
13,"A",78,100,"F",1
13,"A",80,100,"F",1
13,"A",78,100,"F",1
13,"A",60,100,"F",1
13,"A",7,100,"F",1
13,"A",87,100,"F",1
13,"A",98,100,"F",1
13,"A",88,0,"F",1
13,"A",98,100,"F",1
13,"A",99,100,"F",1
13,"A",87,100,"F",1
13,"A",90,100,"F",1
13,"A",30,0,"B",1
13,"A",99,0,"B",1
13,"A",90,100,"B",1
13,"A",40,0,"B",1
13,"A",70,100,"B",1
13,"A",50,100,"B",1
13,"A",60,100,"B",1
13,"A",70,100,"B",1
13,"A",98,0,"B",1
13,"A",90,0,"B",1
13,"A",37,100,"B",1
13,"A",100,0,"B",1
13,"A",70,0,"B",1
13,"A",80,0,"B",1
13,"A",86,0,"B",1
13,"A",89,0,"B",1
13,"A",90,100,"B",1
13,"A",90,100,"B",1
13,"A",90,100,"B",1
13,"A",80,0,"B",1
13,"A",70,0,"S",1
13,"A",70,0,"S",1
13,"A",30,0,"S",1
13,"A",70,0,"S",1
13,"A",97,0,"S",1
13,"A",34,100,"S",1
13,"A",60,100,"S",1
13,"A",66,100,"S",1
13,"A",79,100,"S",1
13,"A",90,100,"S",1
13,"A",80,0,"S",1
13,"A",90,100,"S",1
13,"A",90,100,"S",1
13,"A",89,0,"S",1
13,"A",95,0,"S",1
13,"A",90,0,"S",1
13,"A",90,100,"S",1
13,"A",90,100,"S",1
13,"A",83,100,"S",1
13,"A",90,100,"S",1
13,"A",43,0,"U",1
13,"A",64,0,"U",1
13,"A",20,100,"U",1
13,"A",35,100,"U",1
13,"A",51,0,"U",1
13,"A",20,0,"U",1
13,"A",54,0,"U",1
13,"A",34,0,"U",1
13,"A",68,100,"U",1
13,"A",57,100,"U",1
13,"A",30,0,"U",1
13,"A",20,0,"U",1
13,"A",21,0,"U",1
13,"A",40,0,"U",1
13,"A",20,0,"U",1
13,"A",20,0,"U",1
13,"A",10,0,"U",1
13,"A",30,0,"U",1
13,"A",76,0,"U",1
13,"A",56,0,"U",1
13,"A",56,100,"F",1
13,"A",40,0,"F",1
13,"A",67,0,"F",1
13,"A",67,100,"F",1
13,"A",56,0,"F",1
13,"A",45,100,"F",1
13,"A",40,100,"F",1
13,"A",90,100,"F",1
13,"A",70,100,"F",1
13,"A",80,100,"F",1
13,"A",78,0,"F",1
13,"A",56,0,"F",1
13,"A",90,100,"F",1
13,"A",34,0,"F",1
13,"A",90,100,"F",1
13,"A",67,100,"F",1
13,"A",90,100,"F",1
13,"A",60,0,"F",1
13,"A",70,100,"F",1
13,"A",90,100,"F",1
13,"A",54,0,"B",1
13,"A",30,0,"B",1
13,"A",34,0,"B",1
13,"A",86,100,"B",1
13,"A",70,0,"B",1
13,"A",56,100,"B",1
13,"A",78,0,"B",1
13,"A",50,0,"B",1
13,"A",34,100,"B",1
13,"A",45,0,"B",1
13,"A",78,0,"B",1
13,"A",76,100,"B",1
13,"A",90,100,"B",1
13,"A",65,100,"B",1
13,"A",67,100,"B",1
13,"A",67,100,"B",1
13,"A",70,0,"B",1
13,"A",70,0,"B",1
13,"A",80,100,"B",1
13,"A",60,0,"B",1
13,"A",70,100,"S",1
13,"A",87,0,"S",1
13,"A",50,0,"S",1
13,"A",90,100,"S",1
13,"A",67,0,"S",1
13,"A",67,100,"S",1
13,"A",6,0,"S",1
13,"A",87,0,"S",1
13,"A",65,0,"S",1
13,"A",78,100,"S",1
13,"A",95,100,"S",1
13,"A",80,0,"S",1
13,"A",70,0,"S",1
13,"A",45,100,"S",1
13,"A",78,0,"S",1
13,"A",90,100,"S",1
13,"A",60,0,"S",1
13,"A",98,0,"S",1
13,"A",70,100,"S",1
13,"A",100,100,"S",1
13,"A",50,0,"U",1
13,"A",56,100,"U",1
13,"A",60,100,"U",1
13,"A",78,0,"U",1
13,"A",50,0,"U",1
13,"A",18,0,"U",1
13,"A",56,100,"U",1
13,"A",56,0,"U",1
13,"A",12,0,"U",1
13,"A",87,0,"U",1
13,"A",57,0,"U",1
13,"A",10,0,"U",1
13,"A",56,0,"U",1
13,"A",56,0,"U",1
13,"A",23,0,"U",1
13,"A",9,0,"U",1
13,"A",56,0,"U",1
13,"A",20,100,"U",1
13,"A",34,0,"U",1
13,"A",30,0,"U",1
17,"A",90,100,"F",1
17,"A",80,100,"F",1
17,"A",20,100,"F",1
17,"A",15,0,"F",1
17,"A",25,0,"F",1
17,"A",90,100,"F",1
17,"A",20,0,"F",1
17,"A",25,100,"F",1
17,"A",80,100,"F",1
17,"A",40,100,"F",1
17,"A",80,0,"F",1
17,"A",60,100,"F",1
17,"A",10,100,"F",1
17,"A",90,100,"F",1
17,"A",80,100,"F",1
17,"A",40,0,"F",1
17,"A",70,100,"F",1
17,"A",100,100,"F",1
17,"A",10,100,"F",1
