Direction,Experiment,Task,Average,Upper,Lower
B,1,JOL,66.08839286,71.06263864,61.11414708
F,1,JOL,68.20625,73.23153413,63.18096587
S,1,JOL,71.64196429,76.97055779,66.31337078
U,1,JOL,25.95892857,31.91762041,20.00023673
B,1,Recall,33.48214286,38.28618003,28.67810569
F,1,Recall,67.41071429,73.52459308,61.29683549
S,1,Recall,58.83928571,64.09263341,53.58593802
U,1,Recall,10.625,14.46068467,6.789315335
B,2,JOL,59.85564516,64.77930731,54.93198302
F,2,JOL,61.53467742,66.43081604,56.6385388
S,2,JOL,67.51854839,71.53509063,63.50200615
U,2,JOL,23.65887097,27.73559717,19.58214477
B,2,Recall,32.01612903,37.92977583,26.10248223
F,2,Recall,65.96774194,72.11935749,59.81612638
S,2,Recall,59.59677419,65.44372807,53.74982032
U,2,Recall,11.53225806,14.72806392,8.336452206
B,3,JOL,70.46048387,75.47020147,65.45076627
F,3,JOL,71.84677419,75.55657864,68.13696974
S,3,JOL,74.63064516,79.33637464,69.92491568
U,3,JOL,33.09919355,38.61278249,27.58560461
B,3,Recall,33.06451613,39.07040838,27.05862388
F,3,Recall,67.25806452,72.12411873,62.3920103
S,3,Recall,59.67741935,65.49876065,53.85607806
U,3,Recall,14.03225806,18.9231939,9.141322228
B,4,JOL,63.8239159,69.53936322,58.10846858
F,4,JOL,66.91787122,72.0792445,61.75649795
S,4,JOL,69.13245902,74.3572377,63.90768034
U,4,JOL,40.28401585,47.72325155,32.84478015
B,4,Recall,30.64102564,36.34104552,24.94100576
F,4,Recall,67.24358974,73.02566392,61.46151557
S,4,Recall,58.58974359,65.01168271,52.16780447
U,4,Recall,14.93589744,19.35792047,10.5138744
