Subject,Condition,JOL,Recall,Direction,ex,bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,0,0,F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,0,0,F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,0,100,F,1,0,,,Average of Recall,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,0,0,F,1,0,,,,B,,,,,,,,,,,B Total,F,,,,,,,,,,,F Total,S,,,,,,,,,,,S Total,U,,,,,,,,,,,U Total,(blank),(blank) Total,Grand Total
25,A,0,100,F,1,0,,,Row Labels,0,10,20,30,40,50,60,70,80,90,100,,0,10,20,30,40,50,60,70,80,90,100,,0,10,20,30,40,50,60,70,80,90,100,,0,10,20,30,40,50,60,70,80,90,100,,(blank),,
29,A,0,0,F,1,0,,,1,18.51851852,22.22222222,17.64705882,18.91891892,30.55555556,39.21568627,47.82608696,36.53846154,32.75862069,38.61386139,33.33333333,33.97341211,47.82608696,53.33333333,65.51724138,58.06451613,57.77777778,73.23943662,60,80,78.46153846,75.82417582,64.73214286,67.66809728,56,33.33333333,40,50,36,67.10526316,50.94339623,64,56.36363636,66.92913386,57.421875,57.94520548,6.735751295,5.142857143,9.803921569,10.9375,12,16.66666667,5.882352941,10,25,25,12.5,9.090909091,,,42.61119082
33,A,0,100,F,1,0,,,2,,,,50,,33.33333333,50,0,75,100,,55.55555556,,100,100,100,100,100,100,100,100,100,100,100,,100,,75,0,,0,100,80,100,100,81.48148148,0,0,40,50,0,,,,,,,14.28571429,,,65.16853933
10,B,0,0,F,1,0,,,3,50,,,0,,,50,100,0,,25,42.85714286,100,,,,100,100,,100,,100,100,100,100,,,100,100,50,80,100,100,100,,87.5,8.108108108,0,0,,,,,,,,,7.692307692,,,44.57831325
18,B,0,0,F,1,0,,,4,0,,,,,0,,,,,18.18181818,16.66666667,,,,,,100,,,,,48.64864865,50,100,,,,,,,,,100,31.42857143,36.84210526,5.555555556,0,0,,,0,0,,0,,25,6.451612903,,,28.67132867
18,B,0,0,F,1,0,,,5,66.66666667,,100,,,75,60,42.85714286,33.33333333,14.28571429,33.33333333,43.58974359,33.33333333,100,,0,100,0,100,75,100,50,73.33333333,66.66666667,100,,33.33333333,,,100,50,71.42857143,100,81.81818182,75,74.35897436,,6.451612903,0,0,,100,,,,,,7.5,,,47.77070064
18,B,0,0,F,1,0,,,6,,0,0,0,0,0,,0,0,80,40,27.27272727,,0,,50,,71.42857143,60,66.66666667,100,100,75,72.4137931,,0,,,,100,,50,42.85714286,46.15384615,100,55.17241379,,0,0,12.5,33.33333333,,0,,100,,,9.677419355,,,41.44144144
18,B,0,100,F,1,0,,,7,,50,0,0,0,100,,,100,50,66.66666667,52.38095238,,,,100,100,100,,100,100,100,72.72727273,85,0,0,,,,,,100,0,66.66666667,69.23076923,57.14285714,0,28.57142857,0,0,,,,,,,,12.5,,,53.84615385
34,B,0,0,F,1,0,,,8,,0,,0,12.5,21.42857143,20,33.33333333,0,,0,18.91891892,100,,33.33333333,0,40,100,30.76923077,85.71428571,100,,,50,0,,,60,100,40,41.66666667,44.44444444,100,100,,50,,,0,0,10,0,0,0,0,,,2.564102564,,,29.45205479
3,C,0,100,F,1,0,,,10,,0,,0,0,,0,0,0,0,13.63636364,8.823529412,0,,0,,,0,,,50,50,45.83333333,41.93548387,,0,,,,50,100,50,50,0,46.15384615,44.44444444,0,0,0,0,0,,0,100,,,0,2.857142857,,,24.26470588
3,C,0,100,F,1,0,,,11,0,,,0,100,0,100,,,0,0,18.18181818,0,,,,,50,50,,,,28.57142857,30.76923077,0,100,,,,,0,,0,,61.53846154,50,10,0,,0,,,,,0,,,5.555555556,,,26.66666667
11,C,0,0,F,1,0,,,13,,,,0,0,50,50,33.33333333,33.33333333,83.33333333,0,43.47826087,,,,,66.66666667,,50,100,100,88.88888889,,84.21052632,,,,0,,0,50,33.33333333,0,88.88888889,100,54.54545455,,0,33.33333333,0,0,0,100,,,,,20,,,51.89873418
11,C,0,0,F,1,0,,,14,,,0,,,75,66.66666667,50,16.66666667,0,100,50,,,,,100,100,,,100,0,100,92.85714286,100,,,0,,100,0,,66.66666667,100,75,73.68421053,0,50,,,0,0,0,,,0,,7.692307692,,,57.35294118
31,C,0,0,F,1,0,,,15,,,,0,,,0,0,,0,6.666666667,4.545454545,,,,,0,,33.33333333,0,0,0,37.5,25,,,,,0,0,,0,0,33.33333333,11.11111111,13.33333333,,0,0,0,0,0,,0,0,0,,0,,,12.76595745
31,C,0,100,F,1,0,,,16,0,,,,,0,,,100,,,33.33333333,,,,,,,,,,100,0,50,,0,,,,,0,,,100,100,66.66666667,,,,,,,,,,,,,,,54.54545455
31,C,0,100,F,1,0,,,17,0,0,0,50,75,0,,0,25,0,,25.92592593,0,100,50,75,75,50,100,100,75,100,100,75,,0,50,100,50,87.5,60,100,25,66.66666667,100,65.625,25,0,33.33333333,0,,100,,,,,,12,,,46.42857143
8,D,0,100,F,1,0,,,18,33.33333333,0,100,,50,,,100,0,75,39.13043478,44.44444444,25,100,0,0,33.33333333,0,,,,40,68.18181818,53.84615385,50,0,100,,,100,,,100,0,64.28571429,63.88888889,3.225806452,100,,,,,,,,,,6.25,,,43.35664336
8,D,0,100,F,1,0,,,19,0,33.33333333,0,,0,,,0,0,33.33333333,,20,,25,100,100,0,,100,,100,85.71428571,,72.22222222,,33.33333333,0,,,100,,,100,100,,63.63636364,9.090909091,0,0,0,,,,,,,,3.225806452,,,32
20,D,0,100,F,1,0,,,20,0,,,,,,,,,0,50,37.5,100,,,,,,,,,100,77.27272727,80.76923077,,,,,,,,,,100,72.22222222,73.68421053,,,0,0,,,,,,100,,25,,,64.61538462
97,A,0,100,F,2,0,,,21,0,,,,0,0,33.33333333,50,16.66666667,23.07692308,,22.22222222,,,0,,0,,50,75,50,28.57142857,66.66666667,45.45454545,50,,0,,,0,0,33.33333333,50,50,50,38.88888889,0,0,0,0,,0,0,0,0,0,,0,,,26.43678161
101,A,0,0,F,2,0,,,24,,,,,,42.85714286,,,,,,42.85714286,,,,,,75,,,,,,75,,,,,,68.18181818,,,,,,68.18181818,0,,,,,50,,,,,,40,,,61.11111111
73,A,0,0,F,2,0,,,25,,100,0,8.333333333,50,45.45454545,,,,,,29.03225806,100,100,66.66666667,77.77777778,63.63636364,100,100,,,,,77.41935484,,,33.33333333,25,36.36363636,80,0,,,,,45.45454545,0,11.11111111,8.333333333,12.5,0,,,,,,,9.375,,,40.15748031
73,A,0,0,F,2,0,,,26,,0,0,0,,,,,0,0,66.66666667,20,,0,100,0,,75,0,,60,0,0,46.66666667,,,,100,0,0,,0,0,30,100,29.41176471,0,0,0,0,,0,,,,,,0,,,24.56140351
73,A,0,100,F,2,0,,,27,,0,50,50,33.33333333,50,,0,0,100,45.45454545,41.93548387,,0,100,100,0,66.66666667,100,,,100,92.30769231,79.31034483,,,50,,,80,100,,0,,72.72727273,70.96774194,0,0,0,40,,50,,,,,0,12.5,,,53.04347826
73,A,0,100,F,2,0,,,29,0,,0,,,0,,0,0,,52,39.39393939,0,,100,,,,,0,100,100,69.23076923,68.75,,,0,,,,100,100,100,,62.5,64.86486486,0,,12.5,0,0,0,0,,,,,3.571428571,,,46.15384615
73,A,0,100,F,2,0,,,30,,,0,,0,100,100,50,,,,50,,,100,50,,100,50,100,,100,,77.77777778,,,,,0,50,0,100,100,100,,66.66666667,,33.33333333,0,25,,,,,,,,16.66666667,,,46.80851064
73,A,0,0,F,2,0,,,31,0,0,,,,50,0,0,,33.33333333,20,16.66666667,66.66666667,,100,,,100,100,,66.66666667,100,100,90,0,0,,,,,0,,100,0,58.82352941,47.82608696,6.666666667,,0,,,,,0,,0,,6.060606061,,,36.17021277
81,A,0,100,F,2,0,,,33,0,0,,100,100,60,40,50,80,0,100,51.85185185,100,0,33.33333333,,100,100,100,80,50,100,100,74.07407407,33.33333333,,,0,0,0,80,100,80,100,66.66666667,66.66666667,0,0,25,25,100,50,,50,66.66666667,,,32.14285714,,,55.96330275
81,A,0,0,F,2,0,,,34,0,100,,0,0,0,100,50,50,47.36842105,,47.5,0,,100,100,,100,50,80,88.88888889,86.66666667,,82.5,70,100,60,33.33333333,50,100,50,66.66666667,100,75,,67.5,50,,0,0,0,16.66666667,0,0,25,30.76923077,0,20,,,54.375
101,A,0,100,F,2,0,,,109,,0,,0,33.33333333,66.66666667,66.66666667,0,33.33333333,38.46153846,100,42.85714286,,,0,25,0,100,100,66.66666667,70,84.61538462,,68.57142857,,0,,,,0,100,,75,64,,62.85714286,100,0,0,,,,,0,,,,2.857142857,,,44.28571429
105,A,0,100,F,2,0,,,2,34.61538462,17.85714286,21.42857143,22.22222222,30.43478261,24.67532468,23.33333333,41.02564103,28.98550725,35.53719008,43.01075269,34.78854025,58.06451613,64,68.42105263,42.85714286,75,68.23529412,71.42857143,66.66666667,67.6056338,68.8,71.24183007,68.64516129,57.14285714,60,44.44444444,46.15384615,47.61904762,64.40677966,65.38461538,58.69565217,65.15151515,47.65625,65.54621849,60.47979798,17.54385965,11.18421053,6.976744186,1.785714286,14.28571429,10.84337349,9.523809524,15.38461538,29.41176471,18.75,34.69387755,14.32973806,,,46.08341811
74,B,0,100,F,2,0,,,73,50,,100,,,0,,100,,50,100,70,50,,,,,100,,,,0,100,64.28571429,62.5,,,0,,,,,,100,75,68.75,7.692307692,100,,,,,,0,,,,13.33333333,,,52.72727273
74,B,0,0,F,2,0,,,74,100,,,,,27.27272727,,,,,44.44444444,41.02564103,50,,,,,50,,,,,65.38461538,60,,,,,,50,,,,,67.64705882,65,0,0,,,0,14.81481481,,,,,40,15.78947368,,,45.85987261
78,B,0,100,F,2,0,,,77,,,,,,,0,100,0,,42.85714286,45.45454545,,,,,100,,,,,100,70,78.57142857,0,100,,,,,,100,100,0,77.77777778,66.66666667,0,,0,,,,,,,,,0,,,60.46511628
90,B,0,0,F,2,0,,,78,,,,,100,,,40,0,,33.33333333,33.33333333,100,50,,,,,,100,100,,66.66666667,73.33333333,,0,,,,,100,,100,75,75,77.27272727,100,50,,,,,,100,,0,0,42.85714286,,,61.01694915
94,B,0,100,F,2,0,,,79,40,0,,50,,60,,,,75,50,51.61290323,80,,,,,75,100,,,50,88.88888889,83.33333333,40,,,,,100,,0,100,60,57.89473684,56.25,29.41176471,,,,,0,,,,,50,28.94736842,,,53.4351145
79,C,0,100,F,2,0,,,80,,,,,,0,,,,,0,0,,,,,,100,,,,,100,100,,,,100,,,,0,,,66.66666667,60,,,,,,0,,,,,100,20,,,46.66666667
79,C,0,100,F,2,0,,,81,,,,,,100,,,,,78.94736842,80,50,,,100,,100,,100,100,,94.11764706,92,75,100,,,,100,100,,,100,93.75,92,33.33333333,0,0,0,0,,100,,,100,50,29.41176471,,,77.01149425
79,C,0,0,F,2,0,,,82,,,,0,40,14.28571429,33.33333333,,,0,0,18.18181818,,0,100,100,80,66.66666667,100,100,100,,100,81.81818182,50,100,,33.33333333,75,50,100,,0,100,100,60,0,0,0,,0,0,,,,,,0,,,45.67901235
79,C,0,100,F,2,0,,,83,,,,100,,0,0,0,0,27.27272727,50,17.85714286,,,,,0,50,33.33333333,33.33333333,85.71428571,77.77777778,40,60,,,,,100,,100,57.14285714,20,50,83.33333333,62.96296296,0,0,50,0,0,,0,,,,,5,,,39.04761905
79,C,0,100,F,2,0,,,84,25,,,,,,,0,0,0,25,20.83333333,33.33333333,66.66666667,100,,,100,,,,50,58.33333333,60,0,0,,,,,,,66.66666667,66.66666667,42.10526316,44.44444444,50,0,0,0,,0,0,,,0,14.28571429,11.11111111,,,36.17021277
87,C,0,0,F,2,0,,,85,,100,,,,0,0,,,100,83.33333333,75,,,100,,,100,,100,100,,87.5,93.33333333,,0,,100,,,,,100,100,88.88888889,87.5,,0,0,0,,,0,,,,0,0,,,71.42857143
87,C,0,100,F,2,0,,,86,,,,,,,,,,,25,25,,,,,,,,,,,66.66666667,66.66666667,,,,,,,,,,,57.14285714,57.14285714,0,,0,,,0,,,,,0,0,,,43.75
84,D,0,0,F,2,0,,,87,0,,,,,0,0,0,0,8.333333333,0,5.882352941,50,0,,,100,,,66.66666667,50,47.82608696,100,51.42857143,0,,,,,,0,0,25,26.92307692,0,22.85714286,0,0,0,0,,,,,,100,,7.142857143,,,24.57627119
100,D,0,0,F,2,0,,,88,,0,0,,,,,0,,,7.142857143,5.555555556,,,,,,,,0,,75,64.70588235,63.63636364,,,,0,0,,,50,,100,73.68421053,66.66666667,,,,,0,0,,,,,0,0,,,45.58823529
84,D,0,0,F,2,0,,,89,,,,,,,,,40,50,30,35.29411765,,,,,,,,,0,100,50,44.44444444,,,0,,,,0,,50,33.33333333,80,57.89473684,,0,0,,,0,,,,0,0,0,,,35.71428571
84,D,0,100,F,2,0,,,90,0,0,0,0,33.33333333,33.33333333,50,50,33.33333333,50,33.33333333,31.57894737,0,100,100,0,0,33.33333333,100,33.33333333,60,60,71.42857143,60.52631579,,,50,,0,33.33333333,66.66666667,0,0,20,57.89473684,42.10526316,0,0,25,0,33.33333333,0,0,0,,0,,5.405405405,,,35.09933775
100,D,0,0,F,2,0,,,91,,,,,,,,,0,,15.38461538,11.76470588,,,,,,,,,100,33.33333333,62.5,60.71428571,,,,,,,,0,,25,38.46153846,35.48387097,0,,,0,0,0,0,0,,,0,0,,,33.33333333
100,D,0,100,F,2,0,,,92,0,,100,,,,,,100,,37.5,45.45454545,,,100,100,,0,,,,,100,92.30769231,50,100,,,,,,,,,80,76.92307692,0,0,,0,,,0,,,,50,20,,,61.70212766
100,D,0,100,F,2,0,,,93,,25,,,100,33.33333333,,50,14.28571429,100,100,44,,100,,,100,71.42857143,0,100,100,100,50,81.81818182,100,100,,,,87.5,,100,83.33333333,100,100,92.30769231,0,50,0,,,50,,,50,0,,37.5,,,63.91752577
65,A,0,0,F,3,0,,,94,50,,,,,,0,0,0,37.5,31.57894737,25.64102564,100,,50,0,,50,0,33.33333333,40,50,41.66666667,42.10526316,100,,,,50,,100,100,0,20,44.44444444,38.88888889,9.090909091,0,0,0,33.33333333,0,0,0,,0,,5.882352941,,,28.57142857
69,A,0,0,F,3,0,,,95,,,,0,100,,,,,,33.33333333,25,,,100,0,,50,,,,,100,66.66666667,,,100,50,50,,,0,,,,50,,100,,0,0,0,0,,0,,33.33333333,16.66666667,,,34.375
69,A,0,0,F,3,0,,,96,,,0,9.090909091,0,0,42.85714286,33.33333333,33.33333333,,,20,,,0,25,50,75,90.90909091,55.55555556,50,,,60.52631579,0,,0,0,0,85.71428571,40,72.72727273,66.66666667,0,,54.05405405,,0,0,0,0,0,,33.33333333,,,0,2.941176471,,,34.89932886
57,A,0,100,F,3,0,,,97,,,,,,40,100,100,75,100,70.58823529,70,100,,,,,100,,,100,100,100,100,100,,100,,,100,,,100,100,90.47619048,92.85714286,100,,,,,0,,,100,,33.33333333,70,,,85.56701031
65,A,0,0,F,3,0,,,98,0,,,0,0,50,0,100,0,50,0,28.57142857,,,,100,,50,100,100,50,100,100,78.26086957,,,,100,50,100,50,66.66666667,100,75,100,73.68421053,0,20,,0,,0,0,,100,,,9.523809524,,,49.35064935
69,A,0,0,F,3,0,,,99,,0,0,100,0,,0,100,0,,,30,,50,,0,100,60,100,80,0,100,100,72.72727273,,,0,,,50,100,66.66666667,100,,0,56.25,,5.882352941,50,,,,,,,,,8.333333333,,,36.9047619
69,A,0,0,F,3,0,,,100,50,33.33333333,100,,,0,0,0,66.66666667,0,,27.27272727,50,80,100,,,66.66666667,100,100,66.66666667,,100,79.16666667,0,75,100,,,50,100,50,75,50,,61.53846154,31.25,22.22222222,0,0,100,,100,,,0,100,32.25806452,,,49.51456311
69,A,0,0,F,3,0,,,101,100,,,,,60,,100,100,50,66.66666667,68.75,50,,,,,100,100,100,75,100,50,70.96774194,100,,,,,80,,,100,100,72.22222222,78.57142857,36.36363636,,,,,0,0,0,0,,75,26.92307692,,,62.39316239
69,A,0,0,F,3,0,,,102,,,,,,0,0,,0,42.85714286,50,28.57142857,,,,,100,50,0,,,87.5,,71.42857143,,,,,100,,0,,80,55.55555556,100,64.70588235,0,0,0,0,100,66.66666667,0,0,33.33333333,50,,31.25,,,49.18032787
